id,phone,website_url
10-56-brewing-company-knox,6308165790,
10-barrel-brewing-co-bend-1,5415851007,http://www.10barrel.com
10-barrel-brewing-co-bend-pub-bend,5415851007,
bend-brewing-high-desert-bend,5413831599,
bevel-craft-brewing-bend,8313451922,http://www.bevelbeer.com
boneyard-beer-co-bend-2,5413232325,http://www.boneyardbeer.com
bridge-99-brewery-bend,5412801690,
craft-kitchen-and-brewery-bend,5416681766,http://www.craftkitchenandbrewery.com
crux-fermentation-project-crux2-bend,,
goodlife-brewing-company-bend,5417280749,http://www.goodlifebrewing.com
monkless-belgian-ales-bend,5416105492,http://www.monkless.com
oblivion-brewing-co-bend,5417283509,http://www.oblivionbrewingco.com
worthy-brewing-company-bend,5416394772,http://www.worthybrewing.com
10-barrel-brewing-co-bend-2,5415851007,
bend-brewing-co-bend,5413831599,http://www.bendbrewingco.com
boneyard-beer-co-bend-1,5413232325,
deschutes-brewery-and-public-house-bend,5413829242,http://www.deschutesbrewery.com
mcmenamins-old-st-francis-school-bend,5413825174,http://www.mcmenamins.com
riverbend-brewing-pub-bend,5415507550,http://www.riverbendbrewing.com
silver-moon-brewing-bend,5413888331,
10-barrel-brewing-co-boise-boise,2083445870,http://www.10barrel.com
barbarian-brewing-downtown-taproom-boise,2083872739,https://barbarianbrewing.com
boise-brewing-boise,2083427655,http://www.boisebrewing.com
clairvoyant-brewing-boise-boise,2089960095,http://www.clairvoyantbrewing.com
cloud-9-brewery-boise,2083360681,http://www.cloud9brewery.com
edge-brewing-company-pub-on-10th-boise,2089725900,http://www.edgebrew.com
highlands-hollow-brewhouse-boise,2083436820,http://www.highlandshollow.com
payette-brewing-co-boise,2083440011,http://www.payettebrewing.com
white-dog-brewing-boise-boise,2089060609,http://www.whitedogbrewing.com
woodland-empire-ale-craft-boise,2086029318,http://www.woodlandempire.com
10-barrel-brewing-co-denver-denver,7205738992,
14er-brewing-company-denver,7207731437,http://www.14erBrewing.com
bierstadt-lagerhaus-denver,7205707824,http://www.bierstadtlager.com
black-shirt-brewing-co-denver,3039932799,http://www.blackshirtbrewingco.com
epic-brewing-co-llc-denver,7205397410,http://www.epicbrewing.com
great-divide-brewing-co-denver,3032969460,http://www.greatdivide.com
odell-brewing-co-denver-denver,,
our-mutual-friend-brewing-denver,3032963441,http://www.omfbeer.com
ratio-beerworks-denver,3102669264,http://ratiobeerworks.com
river-north-brewery-rino-denver,7858656057,http://www.rivernorthbrewery.com
spangalang-brewery-denver,3032971276,http://www.spangalangbrewery.com
the-sandlot-brewery-at-coors-field-denver,3032981587,http://www.millercoors.com
woods-boss-brewing-company-denver,9149609225,http://www.woodsbossbrew.com
10-barrel-brewing-co-portland,5032241700,http://www.10barrel.com
back-pedal-brewing-company-portland,9714005950,http://backpedalbrewing.com
bridgeport-brewing-co-portland,5032417179,http://www.bridgeportbrew.com
